Group,Gene
1,Os12g0568500
1,Os12g0568200
1,Os07g0297400
1,Os07g0692900
1,Os01g0851700
1,Os01g0897600
1,Os06g0131100
1,Os03g0171900
1,Os02g0131800
1,Os01g0339900
1,Os02g0761400
1,Os05g0204900
1,Os09g0446800
1,Os06g0701200
1,Os08g0409100
1,Os12g0409000
1,Os02g0762600
1,Os06g0486900
1,Os06g0677500
1,Os03g0565500
1,Os07g0155600
1,Os09g0567300
1,Os06g0223800
1,Os05g0540300
1,Os01g0711400
1,Os05g0156300
1,Os03g0851100
1,Os05g0429000
1,Os03g0699300
1,Os03g0785900
1,Os03g0283200
1,Os08g0308100
1,Os06g0566300
1,Os07g0681400
1,Os02g0220600
1,Os01g0118000
1,Os08g0144100
1,Os01g0372700
1,Os06g0103800
1,Os02g0635000
1,Os08g0561700
1,Os03g0401366
1,Os03g0401300
1,Os01g0260700
1,Os05g0192100
1,Os11g0199200
1,Os02g0332200
1,Os03g0198400
1,Os06g0508700
1,Os11g0484500
1,Os03g0667500
1,Os05g0460000
1,Os04g0381700
1,Os07g0180900
1,Os11g0600900
1,Os05g0116100
1,Os05g0114000
1,Os03g0174500
1,Os12g0170400
1,Os05g0128400
1,Os01g0955700
1,Os01g0559100
1,Os07g0617800
1,Os05g0160000
1,Os02g0139600
1,Os01g0952800
1,Os06g0716800
1,Os11g0546900
1,Os03g0712700
1,Os06g0247500
1,Os04g0444600
1,Os05g0147400
1,Os02g0125100
1,Os06g0219500
1,Os04g0610900
1,Os01g0711000
1,Os01g0589300
1,Os09g0490200
1,Os01g0622300
1,Os06g0687700
1,Os05g0303000
1,Os01g0840100
1,Os11g0108700
1,Os11g0108650
1,Os01g0674100
1,Os05g0304400
1,Os04g0692750
1,Os06g0239000
1,Os07g0181000
1,Os03g0755100
1,Os02g0100300
1,Os12g0562600
1,Os12g0562500
1,Os06g0149400
1,Os07g0577700
1,Os06g0165800
1,Os08g0248900
1,Os01g0874900
1,Os05g0566500
1,Os06g0548000
1,Os02g0830100
1,Os01g0274800
1,Os02g0527600
1,Os08g0199525
1,Os08g0199300
1,Os09g0115400
1,Os03g0387100
1,Os10g0182000
1,Os06g0568200
1,Os08g0314800
1,Os01g0974800
1,Os01g0180800
1,Os06g0181200
1,Os06g0181100
1,Os02g0709350
1,Os01g0663300
1,Os04g0517100
1,Os04g0490300
1,Os06g0167600
1,Os06g0571400
1,Os10g0206800
1,Os04g0643600
1,Os08g0191700
1,Os07g0232900
1,Os09g0566550
1,Os06g0716700
1,Os02g0220500
1,Os03g0324300
1,Os03g0266900
1,Os02g0739600
1,Os02g0707100
1,Os02g0768600
1,Os06g0531200
1,Os06g0126000
1,Os03g0794500
1,Os12g0244100
1,Os02g0621700
1,Os02g0523500
1,Os03g0276500
1,Os11g0106400
1,Os03g0180400
1,Os02g0689800
1,Os05g0418000
1,Os03g0157900
1,Os03g0438200
1,Os03g0438100
1,Os01g0939700
1,Os03g0703100
1,Os11g0167800
1,Os02g0201500
1,Os02g0201401
1,Os01g0841600
1,Os04g0510300
1,Os04g0510200
1,Os10g0524400
1,Os03g0710800
1,Os01g0811100
1,Os03g0216600
1,Os09g0515200
1,Os03g0405900
2,Os12g0568500
2,Os12g0568200
2,Os07g0297400
2,Os07g0692900
2,Os01g0851700
2,Os03g0171900
2,Os01g0339900
2,Os02g0761400
2,Os05g0204900
2,Os09g0446800
2,Os06g0701200
2,Os08g0409100
2,Os12g0409000
2,Os06g0486900
2,Os06g0677500
2,Os03g0565500
2,Os09g0567300
2,Os05g0540300
2,Os01g0711400
2,Os05g0156300
2,Os03g0851100
2,Os05g0429000
2,Os03g0699300
2,Os03g0785900
2,Os03g0283200
2,Os08g0308100
2,Os07g0681400
2,Os02g0220600
2,Os01g0118000
2,Os08g0144100
2,Os01g0372700
2,Os02g0635000
2,Os03g0401366
2,Os03g0401300
2,Os01g0260700
2,Os11g0199200
2,Os02g0332200
2,Os03g0198400
2,Os06g0508700
2,Os11g0484500
2,Os05g0460000
2,Os07g0180900
2,Os11g0600900
2,Os05g0114000
2,Os03g0174500
2,Os01g0955700
2,Os01g0559100
2,Os07g0617800
2,Os05g0160000
2,Os02g0139600
2,Os01g0952800
2,Os11g0546900
2,Os03g0712700
2,Os06g0247500
2,Os04g0444600
2,Os05g0147400
2,Os02g0125100
2,Os06g0219500
2,Os01g0711000
2,Os01g0589300
2,Os01g0622300
2,Os06g0687700
2,Os05g0303000
2,Os01g0840100
2,Os04g0692750
2,Os06g0239000
2,Os07g0181000
2,Os02g0100300
2,Os06g0149400
2,Os07g0577700
2,Os06g0165800
2,Os08g0248900
2,Os01g0874900
2,Os05g0566500
2,Os06g0548000
2,Os02g0830100
2,Os01g0274800
2,Os08g0199525
2,Os08g0199300
2,Os09g0115400
2,Os10g0182000
2,Os06g0568200
2,Os08g0314800
2,Os01g0974800
2,Os01g0180800
2,Os01g0663300
2,Os04g0517100
2,Os06g0167600
2,Os06g0571400
2,Os04g0643600
2,Os08g0191700
2,Os07g0232900
2,Os06g0716700
2,Os02g0220500
2,Os03g0266900
2,Os02g0739600
2,Os02g0707100
2,Os02g0768600
2,Os06g0531200
2,Os03g0794500
2,Os12g0244100
2,Os02g0621700
2,Os02g0523500
2,Os03g0276500
2,Os11g0106400
2,Os02g0689800
2,Os03g0157900
2,Os01g0939700
2,Os01g0841600
2,Os10g0524400
2,Os03g0710800
2,Os01g0811100
2,Os03g0216600
2,Os09g0515200
2,Os03g0405900
3,Os06g0119600
3,Os03g0271400
3,Os03g0271350
3,Os11g0191300
3,Os04g0559100
3,Os02g0550400
3,Os01g0738300
3,Os06g0663900
3,Os03g0196900
3,Os09g0325180
3,Os09g0325140
3,Os09g0325000
3,Os09g0566100
3,Os02g0273700
3,Os09g0544800
3,Os05g0345500
3,Os04g0691700
3,Os04g0487100
3,Os04g0472400
3,Os09g0520700
3,Os03g0294600
3,Os09g0474800
3,Os01g0766200
3,Os01g0738600
3,Os03g0146300
3,Os11g0610700
3,Os05g0591900
3,Os06g0677500
3,Os01g0110500
3,Os09g0515800
3,Os05g0557700
3,Os04g0566700
3,Os12g0176500
3,Os05g0100700
3,Os03g0858400
3,Os06g0623050
3,Os06g0622800
3,Os03g0114800
3,Os12g0111500
3,Os08g0504800
3,Os05g0429400
3,Os05g0350500
3,Os03g0785900
3,Os01g0874700
3,Os07g0515100
3,Os05g0349500
3,Os02g0746000
3,Os01g0835000
3,Os02g0251700
3,Os02g0702600
3,Os03g0173900
3,Os02g0709800
3,Os01g0588400
3,Os03g0367800
3,Os05g0460000
3,Os03g0664700
3,Os03g0664650
3,Os02g0125700
3,Os06g0554100
3,Os09g0420100
3,Os07g0613300
3,Os10g0462900
3,Os10g0377400
3,Os03g0748800
3,Os01g0908200
3,Os09g0494300
3,Os03g0246800
3,Os04g0600800
3,Os07g0164900
3,Os07g0109600
3,Os04g0642100
3,Os05g0557600
3,Os10g0518100
3,Os01g0626200
3,Os01g0626100
3,Os07g0150500
3,Os03g0764800
3,Os10g0184300
3,Os03g0785300
3,Os07g0632600
3,Os06g0660700
3,Os04g0485200
3,Os07g0481000
3,Os02g0530100
3,Os06g0731100
3,Os02g0775200
3,Os02g0775050
3,Os08g0512300
3,Os04g0599900
3,Os01g0840100
3,Os03g0308000
3,Os12g0535900
3,Os01g0825700
3,Os03g0667100
3,Os05g0304400
3,Os01g0760000
3,Os05g0339000
3,Os01g0118100
3,Os04g0666900
3,Os02g0120600
3,Os08g0547200
3,Os12g0498400
3,Os05g0349200
3,Os03g0667700
3,Os01g0583100
3,Os05g0592800
3,Os08g0103600
3,Os12g0137500
3,Os06g0101000
3,Os03g0786800
3,Os02g0208700
3,Os01g0271200
3,Os02g0117400
3,Os05g0494200
3,Os05g0556100
3,Os04g0564700
3,Os03g0129200
3,Os07g0564750
3,Os07g0564700
3,Os07g0476200
3,Os06g0338900
3,Os04g0577000
3,Os07g0693700
3,Os10g0369000
3,Os01g0532800
3,Os04g0110600
3,Os08g0170900
3,Os10g0471350
3,Os06g0301000
3,Os07g0693500
3,Os12g0568800
3,Os01g0834200
3,Os04g0619300
3,Os03g0233500
3,Os03g0276500
3,Os05g0418000
3,Os02g0181800
3,Os04g0492100
3,Os04g0643000
3,Os06g0488050
3,Os01g0952300
3,Os02g0810500
3,Os11g0199700
3,Os03g0417900
3,Os07g0563000
3,Os01g0614500
3,Os05g0384800
3,Os08g0557700
3,Os09g0413100
3,Os05g0117864
4,Os04g0463000
4,Os11g0302900
4,Os10g0363100
4,Os02g0182500
4,Os02g0437800
4,Os09g0402300
4,Os03g0669800
4,Os01g0829800
4,Os10g0539900
4,Os03g0171900
4,Os01g0339900
4,Os04g0405100
4,Os03g0715500
4,Os05g0594200
4,Os02g0722300
4,Os04g0565500
4,Os06g0309200
4,Os06g0730900
4,Os01g0703600
4,Os11g0610700
4,Os05g0591900
4,Os04g0614000
4,Os03g0146100
4,Os01g0715500
4,Os04g0402100
4,Os08g0434300
4,Os01g0290700
4,Os05g0540300
4,Os04g0432500
4,Os01g0911200
4,Os08g0321000
4,Os05g0156300
4,Os07g0108800
4,Os03g0399532
4,Os03g0785900
4,Os11g0525600
4,Os06g0566300
4,Os01g0557500
4,Os02g0115900
4,Os02g0100100
4,Os05g0543100
4,Os08g0412500
4,Os02g0135800
4,Os01g0588400
4,Os02g0658100
4,Os11g0199200
4,Os04g0462900
4,Os06g0726600
4,Os05g0460000
4,Os10g0569300
4,Os07g0549700
4,Os10g0397400
4,Os05g0148600
4,Os07g0669100
4,Os04g0102700
4,Os12g0640600
4,Os05g0128400
4,Os02g0738900
4,Os06g0336200
4,Os01g0867600
4,Os10g0477100
4,Os01g0666800
4,Os03g0397400
4,Os07g0209000
4,Os05g0593100
4,Os02g0710900
4,Os12g0112200
4,Os09g0248100
4,Os10g0184300
4,Os06g0731400
4,Os01g0587000
4,Os11g0648000
4,Os09g0299400
4,Os01g0723200
4,Os02g0670900
4,Os11g0433200
4,Os01g0935700
4,Os01g0711000
4,Os01g0100200
4,Os04g0563100
4,Os01g0840100
4,Os07g0463400
4,Os04g0382700
4,Os01g0166700
4,Os02g0580500
4,Os11g0140400
4,Os03g0755100
4,Os01g0959800
4,Os09g0538600
4,Os01g0191500
4,Os01g0678500
4,Os06g0268800
4,Os11g0544100
4,Os04g0605900
4,Os04g0395600
4,Os02g0117400
4,Os06g0715500
4,Os03g0636600
4,Os05g0556100
4,Os04g0653200
4,Os08g0205200
4,Os06g0568200
4,Os03g0142800
4,Os05g0335100
4,Os02g0674700
4,Os09g0538200
4,Os09g0474300
4,Os04g0568900
4,Os03g0212700
4,Os02g0622300
4,Os02g0753300
4,Os02g0702800
4,Os04g0681400
4,Os07g0232900
4,Os11g0168200
4,Os05g0536200
4,Os06g0716700
4,Os05g0495600
4,Os05g0148000
4,Os02g0655700
4,Os06g0180000
4,Os01g0834200
4,Os06g0531200
4,Os06g0174400
4,Os12g0136900
4,Os04g0643100
4,Os07g0597100
4,Os03g0276500
4,Os03g0180400
4,Os05g0208000
4,Os02g0664300
4,Os03g0752300
4,Os08g0246400
4,Os06g0668200
4,Os04g0137500
4,Os04g0618500
4,Os12g0641400
4,Os07g0563000
4,Os08g0561500
4,Os01g0841600
4,Os10g0393100
4,Os09g0507800
4,Os08g0496900
4,Os01g0105400
4,Os02g0229000
4,Os11g0515500
4,Os01g0811100
4,Os08g0478200
4,Os05g0579000
4,Os01g0624000
4,Os12g0236700
4,Os10g0457600
4,Os06g0247800
5,Os09g0439700
5,Os06g0119600
5,Os03g0586300
5,Os07g0587100
5,Os06g0138600
5,Os10g0363100
5,Os05g0209100
5,Os08g0503800
5,Os11g0592300
5,Os01g0642000
5,Os02g0437800
5,Os02g0755000
5,Os05g0123100
5,Os07g0573700
5,Os04g0652500
5,Os03g0145300
5,Os02g0741300
5,Os04g0636100
5,Os06g0143900
5,Os01g0858900
5,Os04g0487100
5,Os02g0722300
5,Os06g0649700
5,Os07g0195200
5,Os01g0703600
5,Os11g0107600
5,Os09g0416700
5,Os08g0472600
5,Os03g0710900
5,Os04g0612600
5,Os05g0472200
5,Os01g0147300
5,Os03g0711400
5,Os12g0425600
5,Os12g0639700
5,Os06g0488600
5,Os07g0567050
5,Os07g0567000
5,Os12g0554400
5,Os06g0623050
5,Os06g0622800
5,Os11g0174000
5,Os11g0546100
5,Os02g0321800
5,Os08g0451000
5,Os08g0395300
5,Os02g0805000
5,Os05g0452900
5,Os02g0768200
5,Os11g0490100
5,Os02g0613100
5,Os04g0650366
5,Os04g0650300
5,Os09g0415700
5,Os02g0172600
5,Os05g0543100
5,Os03g0711500
5,Os07g0501800
5,Os03g0849600
5,Os01g0232400
5,Os03g0775200
5,Os03g0667500
5,Os03g0582000
5,Os05g0378800
5,Os10g0569300
5,Os01g0744400
5,Os01g0867900
5,Os07g0208500
5,Os05g0503000
5,Os10g0561200
5,Os11g0284900
5,Os05g0176100
5,Os02g0209100
5,Os07g0620300
5,Os11g0602900
5,Os10g0377400
5,Os02g0527900
5,Os03g0246800
5,Os04g0477500
5,Os10g0477100
5,Os03g0730800
5,Os03g0305800
5,Os04g0551300
5,Os07g0476500
5,Os05g0391200
5,Os09g0557700
5,Os05g0552500
5,Os03g0144800
5,Os03g0803900
5,Os09g0539100
5,Os03g0225600
5,Os02g0809800
5,Os01g0880200
5,Os03g0126100
5,Os01g0281400
5,Os01g0232800
5,Os06g0593100
5,Os04g0502200
5,Os01g0802850
5,Os02g0274900
5,Os01g0906200
5,Os08g0109100
5,Os03g0702700
5,Os04g0570800
5,Os01g0331900
5,Os09g0127800
5,Os02g0638900
5,Os01g0106200
5,Os04g0417800
5,Os06g0687900
5,Os02g0118400
5,Os04g0212200
5,Os08g0248900
5,Os06g0665800
5,Os01g0179200
5,Os10g0180000
5,Os01g0926400
5,Os05g0494500
5,Os01g0846600
5,Os06g0708500
5,Os04g0597000
5,Os02g0595100
5,Os06g0167100
5,Os05g0154800
5,Os05g0154700
5,Os07g0564750
5,Os07g0564700
5,Os03g0287800
5,Os01g0963300
5,Os09g0498800
5,Os07g0693700
5,Os05g0529300
5,Os04g0681400
5,Os04g0398600
5,Os01g0883900
5,Os08g0323700
5,Os01g0867700
5,Os06g0180000
5,Os01g0834200
5,Os10g0368400
5,Os03g0804300
5,Os02g0209000
5,Os10g0346600
5,Os02g0797700
5,Os02g0594900
5,Os08g0277900
5,Os11g0546500
5,Os02g0697800
5,Os06g0154500
5,Os07g0564600
5,Os12g0538900
5,Os06g0687400
5,Os08g0386700
5,Os12g0641400
5,Os05g0474400
5,Os01g0329400
5,Os03g0417900
5,Os11g0572400
5,Os07g0437000
5,Os05g0346100
5,Os07g0194800
5,Os10g0393100
5,Os01g0850100
5,Os08g0496900
5,Os09g0548100
5,Os09g0548066
5,Os09g0548034
5,Os11g0124900
5,Os03g0803600
6,Os09g0439700
6,Os06g0119600
6,Os03g0586300
6,Os07g0587100
6,Os06g0138600
6,Os10g0363100
6,Os05g0209100
6,Os08g0503800
6,Os11g0592300
6,Os01g0642000
6,Os02g0437800
6,Os02g0755000
6,Os05g0123100
6,Os07g0573700
6,Os04g0652500
6,Os03g0145300
6,Os02g0741300
6,Os04g0636100
6,Os01g0858900
6,Os04g0487100
6,Os02g0722300
6,Os06g0649700
6,Os07g0195200
6,Os01g0703600
6,Os11g0107600
6,Os09g0416700
6,Os08g0472600
6,Os03g0710900
6,Os05g0472200
6,Os01g0147300
6,Os12g0425600
6,Os12g0639700
6,Os06g0488600
6,Os07g0567050
6,Os07g0567000
6,Os12g0554400
6,Os06g0623050
6,Os06g0622800
6,Os11g0546100
6,Os02g0321800
6,Os08g0451000
6,Os08g0395300
6,Os05g0452900
6,Os02g0768200
6,Os11g0490100
6,Os02g0613100
6,Os04g0650366
6,Os04g0650300
6,Os09g0415700
6,Os02g0172600
6,Os05g0543100
6,Os07g0501800
6,Os03g0849600
6,Os01g0232400
6,Os03g0775200
6,Os03g0667500
6,Os03g0582000
6,Os05g0378800
6,Os10g0569300
6,Os01g0744400
6,Os01g0867900
6,Os07g0208500
6,Os05g0503000
6,Os10g0561200
6,Os11g0284900
6,Os05g0176100
6,Os07g0620300
6,Os11g0602900
6,Os10g0377400
6,Os02g0527900
6,Os03g0246800
6,Os04g0477500
6,Os10g0477100
6,Os03g0730800
6,Os03g0305800
6,Os04g0551300
6,Os07g0476500
6,Os05g0391200
6,Os09g0557700
6,Os05g0552500
6,Os03g0144800
6,Os03g0803900
6,Os09g0539100
6,Os02g0809800
6,Os01g0880200
6,Os03g0126100
6,Os01g0232800
6,Os06g0593100
6,Os04g0502200
6,Os01g0802850
6,Os02g0274900
6,Os01g0906200
6,Os08g0109100
6,Os03g0702700
6,Os04g0570800
6,Os01g0331900
6,Os02g0638900
6,Os04g0417800
6,Os06g0687900
6,Os02g0118400
6,Os04g0212200
6,Os08g0248900
6,Os06g0665800
6,Os01g0179200
6,Os10g0180000
6,Os01g0926400
6,Os05g0494500
6,Os01g0846600
6,Os06g0708500
6,Os04g0597000
6,Os02g0595100
6,Os05g0154800
6,Os05g0154700
6,Os07g0564750
6,Os07g0564700
6,Os03g0287800
6,Os01g0963300
6,Os09g0498800
6,Os07g0693700
6,Os04g0681400
6,Os04g0398600
6,Os01g0883900
6,Os08g0323700
6,Os01g0867700
6,Os06g0180000
6,Os01g0834200
6,Os10g0368400
6,Os03g0804300
6,Os10g0346600
6,Os02g0797700
6,Os02g0594900
6,Os08g0277900
6,Os11g0546500
6,Os02g0697800
6,Os06g0154500
6,Os07g0564600
6,Os12g0538900
6,Os06g0687400
6,Os08g0386700
6,Os05g0474400
6,Os01g0329400
6,Os03g0417900
6,Os11g0572400
6,Os07g0437000
6,Os05g0346100
6,Os07g0194800
6,Os10g0393100
6,Os01g0850100
6,Os08g0496900
6,Os09g0548100
6,Os09g0548066
6,Os09g0548034
6,Os11g0124900
6,Os03g0803600
7,Os06g0119600
7,Os03g0586300
7,Os07g0587100
7,Os06g0138600
7,Os10g0363100
7,Os05g0209100
7,Os02g0437800
7,Os02g0755000
7,Os07g0573700
7,Os04g0636100
7,Os04g0487100
7,Os02g0722300
7,Os06g0649700
7,Os07g0195200
7,Os01g0703600
7,Os11g0107600
7,Os08g0472600
7,Os03g0710900
7,Os05g0472200
7,Os12g0425600
7,Os06g0488600
7,Os07g0567050
7,Os07g0567000
7,Os12g0554400
7,Os06g0623050
7,Os06g0622800
7,Os08g0451000
7,Os08g0395300
7,Os05g0452900
7,Os11g0490100
7,Os02g0613100
7,Os04g0650366
7,Os04g0650300
7,Os09g0415700
7,Os02g0172600
7,Os05g0543100
7,Os07g0501800
7,Os01g0232400
7,Os03g0775200
7,Os03g0667500
7,Os05g0378800
7,Os10g0569300
7,Os01g0867900
7,Os07g0208500
7,Os05g0503000
7,Os10g0561200
7,Os11g0284900
7,Os05g0176100
7,Os07g0620300
7,Os11g0602900
7,Os10g0377400
7,Os02g0527900
7,Os03g0246800
7,Os10g0477100
7,Os03g0730800
7,Os03g0305800
7,Os04g0551300
7,Os07g0476500
7,Os05g0391200
7,Os09g0557700
7,Os05g0552500
7,Os03g0144800
7,Os03g0803900
7,Os09g0539100
7,Os02g0809800
7,Os01g0880200
7,Os03g0126100
7,Os01g0232800
7,Os04g0502200
7,Os01g0802850
7,Os02g0274900
7,Os03g0702700
7,Os04g0570800
7,Os01g0331900
7,Os02g0638900
7,Os04g0417800
7,Os06g0687900
7,Os02g0118400
7,Os04g0212200
7,Os06g0665800
7,Os10g0180000
7,Os01g0926400
7,Os05g0494500
7,Os01g0846600
7,Os04g0597000
7,Os07g0564750
7,Os07g0564700
7,Os01g0963300
7,Os09g0498800
7,Os07g0693700
7,Os04g0681400
7,Os04g0398600
7,Os01g0883900
7,Os08g0323700
7,Os01g0867700
7,Os06g0180000
7,Os01g0834200
7,Os10g0368400
7,Os03g0804300
7,Os10g0346600
7,Os02g0797700
7,Os08g0277900
7,Os11g0546500
7,Os02g0697800
7,Os06g0154500
7,Os07g0564600
7,Os06g0687400
7,Os08g0386700
7,Os05g0474400
7,Os01g0329400
7,Os03g0417900
7,Os11g0572400
7,Os05g0346100
7,Os07g0194800
7,Os10g0393100
7,Os01g0850100
7,Os08g0496900
7,Os09g0548100
7,Os09g0548066
7,Os09g0548034
7,Os11g0124900
7,Os03g0803600
8,Os06g0119600
8,Os02g0559800
8,Os02g0722300
8,Os04g0584800
8,Os02g0124700
8,Os06g0715700
8,Os07g0620300
8,Os10g0377400
8,Os12g0566400
8,Os02g0518100
8,Os04g0502200
8,Os01g0825700
8,Os02g0833300
8,Os05g0339000
8,Os04g0382700
8,Os08g0109100
8,Os01g0331900
8,Os05g0462500
8,Os03g0636600
8,Os10g0441800
8,Os07g0564750
8,Os07g0564700
8,Os04g0669300
8,Os07g0693700
8,Os01g0813500
8,Os04g0681400
8,Os03g0804300
8,Os06g0687800
8,Os02g0797700
8,Os07g0564600
8,Os01g0329400
8,Os08g0496900
8,Os01g0708300
